,productname,prices,descriptions,raitng & reviews,otherinfo
1178,ASUS Vivobook 15 Core i5 11th Gen,"₹42,990",Intel Core i5 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.2, (8 GB/512 GB SSD/Windows 11 Home
1179,APPLE 2020 Macbook Air M1,"₹81,990","Apple M1 Processor8 GB DDR4 RAMMac OS Operating System256 GB SSD33.78 cm (13.3 inch) DisplayBuilt-in Apps: iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player1 Year Limited Warra­nty",4.1, (8 GB/256 GB SSD/Mac OS Big Sur
1180,ASUS Vivobook 15 Core i3 11th Gen,"₹34,990",Intel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.1, (8 GB/512 GB SSD/Windows 11 Home
1181,HP Intel Core i5 11th Gen,"₹49,990",Intel Core i5 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.3, (8 GB/512 GB SSD/Windows 11 Home
1182,HP 15s (2023) Intel Core i5 11th Gen,"₹52,990",Intel Core i5 Processor (11th Gen)16 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,3.6, (16 GB/512 GB SSD/Windows 11 Home
1183,HP Chromebook (2023) Intel Core i5 11th Gen,"₹54,990","Intel Core i5 Processor (11th Gen)8 GB DDR4 RAM64 bit Chrome Operating System256 GB SSD35.56 cm (14 inch) Display1M+ Android apps, Preinstalled G-suite apps, Linux kernel and apps, Chrome web extensions, Available online and offline, Google Chrome, Google Play Store, Google Drive, Gmail, Google Calendar, Google Photo, Google Map, YouTube, Google Docs, Google spreadsheet, Google Slide, Google Hangouts, Google Keep, Google Shopping, Google Play Movies & TV, Google Play Books Drawing canvas, Google Play Music, Google Play Games1 Year Onsite Warranty",4.3, (8 GB/256 GB SSD/Chrome OS
1184,HP (2023) Intel 12th Gen N305 Core i3,"₹40,990",Intel Core i3 Processor8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD35.56 cm (14 Inch) Display1 Year Onsite Warranty,4.3, (8 GB/512 GB SSD/Windows 11 Home
1185,Acer One Core i3 11th Gen,"₹26,990",Intel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System256 GB SSD35.56 cm (14 Inch) Display1 Year Warranty,4.2, (8 GB/256 GB SSD/Windows 11 Home
1186,Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U,"₹40,490",AMD Ryzen 5 Hexa Core Processor8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD93.01 cm (36.62 cm) DisplayOffice Home and Student 20212 Year warranty,4.4, (8 GB/512 GB SSD/Windows 11 Home
1187,Lenovo LOQ Ryzen 7 Octa Core 7840HS,"₹87,990",AMD Ryzen 7 Octa Core Processor16 GB DDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) DisplayMicrosoft Office Home & Student 20211 Year Onsite Warranty,4.2, (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce R...
1188,Lenovo V15 Ryzen 5 Hexa Core 5500U,"₹35,990",AMD Ryzen 5 Hexa Core Processor8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.3, (8 GB/512 GB SSD/Windows 11 Home
1189,HP 14s Intel Core i3 11th Gen,"₹35,990",Intel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System256 GB SSD35.56 cm (14 inch) Display1 Year Onsite Warranty,4, (8 GB/256 GB SSD/Windows 11 Home
1190,HP 15s (2023) Intel Core i3 12th Gen,"₹39,990",Intel Core i3 Processor (12th Gen)8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.1, (8 GB/512 GB SSD/Windows 11 Home
1191,realme Book (Slim) Core i3 11th Gen,"₹36,999","Stylish & Portable Thin and Light Laptop14 inch 2K QHD, IPS LCD Display ( 400nits peak brightness, 100% sRGB, 3:2 aspect ratio, Full Vision Display)Finger Print Sensor for Faster System AccessLight Laptop without Optical Disk DriveIntel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 10 Operating System256 GB SSD35.56 cm (14 inch) DisplayNA1 Year Domestic Warranty",4.7, (8 GB/256 GB SSD/Windows 10 Home
